"(121,)","(121,)","(137,)","(80,)","(-13,)","(12,)","(25,)","(-26,)","(-2.24,)","(0.0,)","(70.13,)","(14.96,)","(121,)","(121,)","('null',)","('null',)","(123,)","(120,)","(66,)","(65,)"
"(124,)","(123,)","(68,)","(66,)","(-12,)","(11,)","(20,)","(-21,)","(2.82,)","(2.24,)","(-68.97,)","(-13.33,)","(124,)","(123,)","(68,)","(66,)","(122,)","(121,)","(66,)","(65,)"
"(123,)","(118,)","(108,)","(68,)","(-10,)","(9,)","(13,)","(-14,)","(-0.57,)","(-4.94,)","(39.14,)","(1.71,)","(123,)","(118,)","('null',)","(68,)","(122,)","(121,)","(66,)","(66,)"
"(115,)","(116,)","(71,)","(72,)","(-7,)","(8,)","(9,)","(-10,)","(-7.51,)","(-1.56,)","(-36.68,)","(4.35,)","(115,)","(116,)","(71,)","(72,)","(121,)","(120,)","(68,)","(67,)"
"(116,)","(108,)","(80,)","(80,)","(-5,)","(5,)","(6,)","(-7,)","(1.02,)","(-8.12,)","(8.57,)","(7.27,)","(116,)","(108,)","(80,)","(80,)","(120,)","(117,)","(71,)","(70,)"
"(111,)","(108,)","(84,)","(85,)","(-4,)","(3,)","(4,)","(-5,)","(-5.85,)","(0.0,)","(4.66,)","(5.11,)","(111,)","(108,)","(84,)","(85,)","(118,)","(115,)","(75,)","(74,)"
"(113,)","(100,)","(90,)","(90,)","(-4,)","(4,)","(4,)","(-6,)","(2.36,)","(-8.21,)","(6.25,)","(5.29,)","(113,)","(100,)","(90,)","(90,)","(117,)","(112,)","(78,)","(76,)"
"(104,)","(104,)","(93,)","(90,)","(-4,)","(4,)","(6,)","(-7,)","(-8.9,)","(3.95,)","(2.66,)","(0.51,)","(104,)","(104,)","(93,)","(90,)","(113,)","(109,)","(83,)","(80,)"
"(104,)","(104,)","(153,)","(136,)","(-9,)","(8,)","(13,)","(-14,)","(0.0,)","(0.0,)","(60.28,)","(45.84,)","(104,)","(104,)","('null',)","('null',)","(110,)","(106,)","(83,)","(83,)"
"(108,)","(106,)","(87,)","(85,)","(-12,)","(11,)","(21,)","(-22,)","(4.27,)","(2.09,)","(-66.41,)","(-51.65,)","(108,)","(106,)","(87,)","(85,)","(109,)","(105,)","(86,)","(86,)"
"(113,)","(113,)","(78,)","(80,)","(-13,)","(12,)","(24,)","(-24,)","(4.63,)","(6.81,)","(-9.0,)","(-5.11,)","(113,)","(113,)","(78,)","(80,)","(108,)","(105,)","(86,)","(86,)"
"(116,)","(119,)","(72,)","(67,)","(-13,)","(12,)","(23,)","(-22,)","(3.48,)","(5.57,)","(-6.36,)","(-12.2,)","(116,)","(119,)","(72,)","(67,)","(109,)","(107,)","(84,)","(82,)"
"(118,)","(115,)","(102,)","(83,)","(-5,)","(5,)","(14,)","(-13,)","(1.56,)","(-3.11,)","(30.49,)","(15.54,)","(118,)","(115,)","('null',)","('null',)","(110,)","(110,)","(82,)","(80,)"
"(115,)","(130,)","(68,)","(67,)","(3,)","(-3,)","(-1,)","(1,)","(-2.58,)","(14.14,)","(-34.19,)","(-15.54,)","(115,)","('null',)","(68,)","(67,)","(112,)","(111,)","(76,)","(74,)"
